NPA,m33_2018,m33_moe_2018,m33_2017,m33_moe_2017,m34_2018,m34_2017,m34_2016,m34_2015,m34_2013,m34_2011,m35_2018,m35_2017,m35_2016,m35_2015,m35_2013,m35_2011,m70_2015,r70_2015,m36_2018,r36_2018,m36_2017,r36_2017,m36_2016,r36_2016,m36_2015,r36_2015,m36_2013,r36_2013,m36_2011,r36_2011,m44_2015,r44_2015,m44_2014,r44_2014,m44_2013,r44_2013
NPA,Long_Commute_2018,Long_Commute_moe_2018,Long_Commute_2017,Long_Commute_moe_2017,Bicycle_Friendliness_2018,Bicycle_Friendliness_2017,Bicycle_Friendliness_2016,Bicycle_Friendliness_2015,Bicycle_Friendliness_2013,Bicycle_Friendliness_2011,Street_Connectivity_2018,Street_Connectivity_2017,Street_Connectivity_2016,Street_Connectivity_2015,Street_Connectivity_2013,Street_Connectivity_2011,Sidewalk_Availability_2015,Sidewalk_Miles_2015,Transit_Proximity_2018,Transit_Proximate_Units_2018,Transit_Proximity_2017,Transit_Proximate_Units_2017,Transit_Proximity_2016,Transit_Proximate_Units_2016,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Proximity_2013,Transit_Proximate_Units_2013,Transit_Proximity_2011,Transit_Proximate_Units_2011,Transit_Ridership_2015,Transit_Ridership_Total_2015,Transit_Ridership_2014,Transit_Ridership_Total_2014,Transit_Ridership_2013,Transit_Ridership_Total_2013
350,67,12,70,11,1.4,1.4,1.4,1.4,1.4,1.4,1.14,1.14,1.14,1.14,1.14,1.15,49.7,3.4,95.69,711,66.62,505,66.62,505,66.71,505,66.71,505,66.58,504,0,0,0,0,0,0
351,93,14,83,17,1.6,1.6,1.6,1.6,1.6,1.6,1.09,1.09,1.09,1.09,1.09,1.09,52.3,2.9,98.23,444,98.21,439,98.19,433,98.17,430,100,414,100,395,2,11,4,20,4,20
352,71,8,62,11,1.3,1.2,1.2,1.2,1.2,1.2,1.06,1.04,1.04,1.05,1.05,1.05,55.5,3.4,99.91,1141,99.91,1141,99.91,1141,99.91,1141,99.91,1140,34.15,390,9,17,6,12,1,1
353,69,7,68,6,1.6,1.6,1.6,1.6,1.6,1.5,1.18,1.18,1.19,1.19,1.19,1.19,58.4,9.1,91.1,911,91.1,911,91.13,914,91.12,913,91.05,905,90.81,879,1,15,2,25,2,22
354,46,12,57,13,1.4,1.4,1.4,1.4,1.4,1.4,1.24,1.24,1.24,1.24,1.24,1.24,47.4,3.0,100,1012,100,1012,100,1012,100,1012,100,1012,100,1012,4,31,6,48,6,34
355,39,13,41,13,1.3,1.3,1.2,1.3,1.3,1.3,1.17,1.13,1.13,1.13,1.24,1.2,51.7,5.3,38.7,406,38.7,406,38.61,405,38.7,406,38.7,406,34.7,364,43,213,49,247,41,207
356,58,9,57,8,1.4,1.4,1.4,1.4,1.4,1.4,1.07,1.07,1.07,1.07,1.08,1.08,50.3,10.4,54.78,1055,55.57,1053,55.63,1053,52.84,996,52.89,996,53.09,996,,,,,,
357,46,8,45,8,1.7,1.7,1.6,1.7,1.7,1.7,1.14,1.14,1.14,1.14,1.16,1.16,43.1,4.0,99.17,1442,99.17,1434,99.17,1427,99.17,1428,99.14,1389,99.14,1389,30,149,35,175,31,187
358,51,7,41,5,1.7,1.7,1.8,1.7,1.7,1.7,1.25,1.25,1.25,1.25,1.25,1.24,49.0,8.5,100,1949,100,1404,100,1665,100,1497,100,1497,100,1497,59,1599,52,1417,52,1548
359,70,15,65,18,1.4,1.4,1.4,1.4,1.4,1.4,1.17,1.17,1.18,1.2,1.2,1.2,38.2,4.8,100,1070,100,1065,100,1064,100,1060,100,1061,100,1055,3,31,4,44,4,42
360,85,5,79,7,1.2,1.2,1.2,1.1,1.2,1.1,1.07,1.07,1.07,1.07,1.09,1.09,35.6,8.8,30.41,468,31.21,470,31.22,468,31.46,470,31.74,465,0,0,36,71,52,104,4,7
361,27,10,19,11,1.7,1.7,1.6,1.6,1.8,1.7,1.43,1.42,1.42,1.42,1.46,1.46,55.8,8.6,100,861,100,755,100,596,100,451,100,451,100,456,39,927,38,917,34,928
362,43,10,44,12,1.8,1.8,1.8,1.7,1.8,1.8,1.27,1.27,1.27,1.27,1.26,1.26,35.7,5.3,100,1298,100,1299,100,1303,100,1309,100,1311,100,1314,55,1370,46,1601,47,1656
363,49,5,50,10,1.3,1.3,1.3,1.3,1.4,1.4,1.23,1.23,1.23,1.23,1.25,1.26,34.4,9.1,100,1220,100,1199,100,1205,100,1207,100,1208,100,1120,46,1108,48,1160,49,1164
364,27,9,26,9,1.8,1.8,1.6,1.7,1.6,1.6,1.34,1.34,1.34,1.34,1.34,1.34,80.3,9.6,100,1179,100,1156,100,1149,100,1143,100,1122,100,1119,15,180,14,167,13,156
365,55,3,55,22,2,2,2.1,2,2.1,2.1,1.36,1.36,1.36,1.36,1.39,1.39,60.6,5.4,100,819,100,823,100,826,100,826,100,825,81.97,532,18,71,19,78,5,20
366,54,13,55,9,1.4,1.4,1.4,1.4,1.3,1.3,1.27,1.27,1.27,1.27,1.19,1.19,62.7,5.2,100,440,100,440,100,441,100,459,100,442,100,583,69,826,74,888,75,898
367,39,5,39,5,1.9,1.8,1.8,1.8,1.9,1.9,1.42,1.4,1.41,1.42,1.46,1.46,78.7,20.0,100,3127,100,3097,100,3094,100,2724,100,2735,100,2546,75,4925,112,6691,128,7696
368,56,8,51,8,1.5,1.5,1.5,1.5,1.6,1.6,1.24,1.24,1.24,1.24,1.32,1.32,,,100,1184,100,1184,100,1184,100,1184,100,1184,100,1184,100,1899,102,1942,90,1612
